year,month,day_endofweek,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,12,2,-.00093600003,-.0262,-.0093799997,-.0296,-.0176,.0539,-.034699999
2020,1,19,2,-.00051799999,-.0127,.0094900001,-.0197,-.0027699999,.0099600004,.043099999
2020,1,26,2,.0128,-.039299998,.0082999999,-.0122,.0275,.059799999,.0165
2020,2,2,2,-.0117,.069499999,-.0077200001,.066799998,-.00612,-.117,-.020199999
2020,2,9,2,-.0735,.0141,.00385,-.092500001,.00191,.0154,.0059699998
2020,2,16,2,-.028999999,-.0583,.0068399999,-.0482,.0090800002,.078100003,.031800002
2020,2,23,2,-.028100001,-.019099999,.0071999999,-.0513,-.031599998,.0579,.0145
2020,3,1,2,-.0337,-.069200002,-.0274,.0127,.057399999,.067199998,-.124
2020,3,8,2,-.045200001,-.15899999,.029999999,-.090999998,.20200001,.059500001,-.115
2020,3,15,2,-.25400001,-.333,-.050799999,-.242,.64899999,-.065899998,-.296
2020,3,22,2,-.64399999,-.75300002,-.242,-.55400002,.56699997,-.336,-.62400001
2020,3,29,2,-.759,-.778,-.43700001,-.65600002,.101,-.59600002,-.76499999
2020,4,5,2,-.76099998,-.759,-.41,-.64499998,.229,-.61000001,-.764
2020,4,12,2,-.74000001,-.79799998,-.433,-.63,.178,-.62900001,-.81
2020,4,19,2,-.722,-.78500003,-.37400001,-.58700001,.17,-.56999999,-.796
2020,4,26,2,-.72799999,-.82200003,-.35699999,-.56599998,.31099999,-.57599998,-.80299997
2020,5,3,2,-.66399997,-.82099998,-.287,-.47999999,.33000001,-.56400001,-.74000001
2020,5,10,2,-.66100001,-.80800003,-.29100001,-.49200001,.31600001,-.54500002,-.745
2020,5,17,2,-.65200001,-.77200001,-.27599999,-.463,.301,-.43799999,-.70899999
2020,5,24,2,-.62199998,-.76899999,-.273,-.44999999,.273,-.36000001,-.69800001
2020,5,31,2,-.58700001,-.80800003,-.273,-.48800001,.20200001,-.43700001,-.67500001
2020,6,7,2,-.588,-.75300002,-.23100001,-.45300001,.204,-.324,-.639
2020,6,14,2,-.55800003,-.71399999,-.204,-.34400001,.21699999,-.0801,-.57499999
2020,6,21,2,-.51999998,-.66000003,-.163,-.32100001,.27399999,-.0854,-.551
2020,6,28,2,-.465,-.70700002,-.164,-.221,.17299999,-.060199998,-.54299998
2020,7,5,2,-.47499999,-.71499997,-.13699999,-.168,.086499996,-.099200003,-.48800001
2020,7,12,2,-.41600001,-.634,-.12899999,-.185,.177,-.086999997,-.55900002
